symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
QQQ,2017-03-15 00:00:00+00:00,132.1,132.405,131.14,131.58,22709139,127.2122714403,127.5059863743,126.2877916478,126.7115115527,22709139,0.0,1.0
QQQ,2017-03-16 00:00:00+00:00,132.01,132.35,131.71,132.33,18457291,127.1256014597,127.4530213862,126.8367015246,127.4337613906,18457291,0.0,1.0
QQQ,2017-03-17 00:00:00+00:00,131.69,132.04,131.62,131.86,21234529,127.0813034697,127.4190546749,127.0137532286,127.2453540551,21234529,0.274,1.0
QQQ,2017-03-20 00:00:00+00:00,131.81,132.11,131.4601,131.65,10105210,127.1971038829,127.4866049159,126.859449178,127.0427033319,10105210,0.0,1.0
QQQ,2017-03-21 00:00:00+00:00,129.81,132.43,129.73,132.31,35841897,125.267096996,127.7954060178,125.1898967205,127.6796056046,35841897,0.0,1.0
QQQ,2017-03-22 00:00:00+00:00,130.69,130.82,129.68,129.89,29177883,126.1163000262,126.2417504739,125.1416465483,125.3442972715,29177883,0.0,1.0
QQQ,2017-03-23 00:00:00+00:00,130.36,130.88,130.14,130.52,20311655,125.7978488899,126.2996506805,125.5855481323,125.9522494408,20311655,0.0,1.0
QQQ,2017-03-24 00:00:00+00:00,130.63,131.29,130.13,130.78,22967566,126.0583998196,126.6953020923,125.5758980979,126.2031503361,22967566,0.0,1.0
QQQ,2017-03-27 00:00:00+00:00,130.84,131.07,129.4,129.73,18472445,126.2610505427,126.4830013347,124.8714455842,125.1898967205,18472445,0.0,1.0
QQQ,2017-03-28 00:00:00+00:00,131.64,132.03,130.55,130.81,23721947,127.0330532975,127.4094046405,125.9811995441,126.2321004394,23721947,0.0,1.0
QQQ,2017-03-29 00:00:00+00:00,132.25,132.3,131.59,131.73,13709968,127.621705398,127.6699555702,126.9848031253,127.1199036074,13709968,0.0,1.0
QQQ,2017-03-30 00:00:00+00:00,132.47,132.61,132.08,132.22,16092374,127.8340061556,127.9691066377,127.4576548126,127.5927552947,16092374,0.0,1.0
QQQ,2017-03-31 00:00:00+00:00,132.38,132.74,132.125,132.27,19841411,127.7471558457,128.0945570853,127.5010799676,127.6410054669,19841411,0.0,1.0
QQQ,2017-04-03 00:00:00+00:00,132.3,132.81,131.56,132.48,23700310,127.6699555702,128.1621073264,126.955853022,127.84365619,23700310,0.0,1.0
QQQ,2017-04-04 00:00:00+00:00,132.51,132.53,131.87,131.9,13400022,127.8726062933,127.8919063622,127.2550040895,127.2839541928,13400022,0.0,1.0
QQQ,2017-04-05 00:00:00+00:00,131.97,133.48,131.72,132.68,32011155,127.3515044339,128.8086596335,127.110253573,128.0366568787,32011155,0.0,1.0
QQQ,2017-04-06 00:00:00+00:00,132.04,132.39,131.7,132.12,18832193,127.4190546749,127.7568058801,127.0909535041,127.4962549504,18832193,0.0,1.0
QQQ,2017-04-07 00:00:00+00:00,131.97,132.37,131.5,131.99,16726191,127.3515044339,127.7375058112,126.8979528154,127.3708045027,16726191,0.0,1.0
QQQ,2017-04-10 00:00:00+00:00,132.02,132.565,131.6564,132.11,15619276,127.399754606,127.9256814827,127.048879354,127.4866049159,15619276,0.0,1.0
QQQ,2017-04-11 00:00:00+00:00,131.45,132.095,130.5,131.86,33778359,126.8497026433,127.4721298643,125.932949372,127.2453540551,33778359,0.0,1.0
QQQ,2017-04-12 00:00:00+00:00,130.92,131.54,130.78,131.45,15955195,126.3382508182,126.9365529532,126.2031503361,126.8497026433,15955195,0.0,1.0
QQQ,2017-04-13 00:00:00+00:00,130.4,131.51,130.38,130.75,23683020,125.8364490276,126.9076028499,125.8171489587,126.1742002328,23683020,0.0,1.0
QQQ,2017-04-17 00:00:00+00:00,131.48,131.5,130.72,130.8,13325508,126.8786527466,126.8979528154,126.1452501295,126.222450405,13325508,0.0,1.0
QQQ,2017-04-18 00:00:00+00:00,131.28,131.66,130.95,131.01,12841087,126.6856520579,127.0523533664,126.3672009215,126.4251011281,12841087,0.0,1.0
QQQ,2017-04-19 00:00:00+00:00,131.49,132.29,131.31,131.85,17764817,126.888302781,127.6603055358,126.7146021612,127.2357040206,17764817,0.0,1.0
QQQ,2017-04-20 00:00:00+00:00,132.59,132.88,131.82,132.04,21977910,127.9498065688,128.2296575674,127.2067539173,127.4190546749,21977910,0.0,1.0
QQQ,2017-04-21 00:00:00+00:00,132.56,132.76,132.22,132.7,22454948,127.9208564655,128.1138571542,127.5927552947,128.0559569476,22454948,0.0,1.0
QQQ,2017-04-24 00:00:00+00:00,134.16,134.285,133.8042,134.02,22444504,129.464861975,129.5854874055,129.1215137499,129.329761493,22444504,0.0,1.0
QQQ,2017-04-25 00:00:00+00:00,135.13,135.3664,134.48,134.58,19384398,130.4009153152,130.6290421292,129.7736630769,129.8701634213,19384398,0.0,1.0
QQQ,2017-04-26 00:00:00+00:00,134.94,135.51,134.86,135.17,25398542,130.2175646609,130.7676166237,130.1403643855,130.4395154529,25398542,0.0,1.0
QQQ,2017-04-27 00:00:00+00:00,135.75,135.75,135.19,135.28,16136538,130.9992174501,130.9992174501,130.4588155218,130.5456658317,16136538,0.0,1.0
QQQ,2017-04-28 00:00:00+00:00,135.99,136.34,135.77,136.28,22771946,131.2308182766,131.5685694818,131.018517519,131.5106692752,22771946,0.0,1.0
QQQ,2017-05-01 00:00:00+00:00,137.2,137.38,136.38,136.46,24815525,132.3984724432,132.572173063,131.6071696195,131.684369895,24815525,0.0,1.0
QQQ,2017-05-02 00:00:00+00:00,137.43,137.49,137.02,137.38,18345071,132.6204232352,132.6783234418,132.2247718233,132.572173063,18345071,0.0,1.0
QQQ,2017-05-03 00:00:00+00:00,136.99,137.17,136.615,137.14,23827550,132.19582172,132.3695223399,131.8339454287,132.3405722366,23827550,0.0,1.0
QQQ,2017-05-04 00:00:00+00:00,137.04,137.43,136.56,137.01,14630063,132.2440718922,132.6204232352,131.7808702394,132.2151217889,14630063,0.0,1.0
QQQ,2017-05-05 00:00:00+00:00,137.54,137.54,136.88,137.39,19330652,132.7265736139,132.7265736139,132.0896713413,132.5818230974,19330652,0.0,1.0
QQQ,2017-05-08 00:00:00+00:00,137.84,137.84,137.33,137.61,13279931,133.016074647,133.016074647,132.5239228908,132.794123855,13279931,0.0,1.0
QQQ,2017-05-09 00:00:00+00:00,138.32,138.628,137.93,138.05,28426109,133.4792762998,133.7764973604,133.1029249569,133.2187253701,28426109,0.0,1.0
QQQ,2017-05-10 00:00:00+00:00,138.4,138.45,137.91,138.4,20499363,133.5564765753,133.6047267475,133.083624888,133.5564765753,20499363,0.0,1.0
QQQ,2017-05-11 00:00:00+00:00,138.29,138.33,137.38,138.03,27232074,133.4503261965,133.4889263343,132.572173063,133.1994253012,27232074,0.0,1.0
QQQ,2017-05-12 00:00:00+00:00,138.6,138.63,138.23,138.37,19738629,133.749477264,133.7784273673,133.3924259899,133.527526472,19738629,0.0,1.0
QQQ,2017-05-15 00:00:00+00:00,139.04,139.12,138.53,138.63,20481327,134.1740787791,134.2512790546,133.681927023,133.7784273673,20481327,0.0,1.0
QQQ,2017-05-16 00:00:00+00:00,139.62,139.64,138.99,139.36,21785994,134.7337807764,134.7530808452,134.125828607,134.4828798811,21785994,0.0,1.0
QQQ,2017-05-17 00:00:00+00:00,136.07,138.77,136.05,138.55,55642178,131.3080185521,133.9135278494,131.2887184832,133.7012270918,55642178,0.0,1.0
QQQ,2017-05-18 00:00:00+00:00,137.26,137.72,135.87,136.06,41319882,132.4563726498,132.9002742338,131.1150178634,131.2983685176,41319882,0.0,1.0
QQQ,2017-05-19 00:00:00+00:00,137.84,138.42,137.66,137.71,36730112,133.016074647,133.5757766442,132.8423740272,132.8906241993,36730112,0.0,1.0
QQQ,2017-05-22 00:00:00+00:00,139.0,139.075,138.0967,138.14,19509659,134.1354786414,134.2078538997,133.2637910309,133.30557568,19509659,0.0,1.0
